x,y
6261463.448,1847688.31
6299632.548,1982645.286
6228814.286,2025537.909
6287288.338,1851025.302
6337727.071,1822126.371
6243001,2013064
6303468,1795922
6289591.971,1863267.649
6239792.976,2005395.978
6324126.938,1887085.363
6212511.809,2031096.701
6401043.9,1968638.227
6255659.698,1850247.579
6435825.315,2071084.741
6299172.162,1991418.861
6489386.359,1823479.745
6374740.421,1924845.024
6172955.949,2090406.503
6323262.972,1858335.457
6285406.175,1844194.079
6418053.859,1861571.515
6298571.844,1893355.2
6151545.665,2089986.762
6306067.244,1821520.342
6255453.156,2013809.856
6598209.189,1874611.021
6249595.977,2081550.021
6249640.977,2081552.021
6263541.232,1991562.244
6203097.054,2041429.588
6251110,1938844
6303666.564,1973086.085
6173219.914,2090388.008
6291178.485,2075106.865
6275371.089,1939459.702
6257391.717,1841586.578
6316031.987,2038638.122
6479206.579,1879085.77
6255177.83,1939739.794
6319094.322,1844173.75
6396527.653,2084760.119
6291086.582,1794718.865
6318187.261,1977031.974
6377169.485,1918952.943
6268163.511,1989474.996
6295169.511,1897380.995
6251428,1938780.968
6216147.951,2034303.529
6377998.576,1924428.661
6255161.658,1842883.582
6298033.121,1883021.762
6289575.232,1870597.411
6281007.732,1826015.661
6303592.162,2043796.907
6243860.535,2074088.262
6318805.368,1825620.449
6251292.077,1983127.959
6441845.5,1892631.995
6257535.005,2019639.5
6259126.622,1931654.083
6291175.001,1902404.021
6216028.427,2015657.108
6326976.44,1810208.182
6269485.546,1937707.802
6374750.629,1924871.596
6236623.668,2055734.116
6308911.884,1823010.332
6316236.075,1850848.017
6289702.861,1863303.457
6251975.395,1938320.924
6271449.295,1851809.31
6255286.368,1843404.416
6298506.449,2022227.687
6378543.241,1916028.675
6260842.897,2019840.877
6252762.131,1876873.535
6276123.815,1852348.751
6174965.481,2090014.971
6506480.835,1888314.69
6152182.602,2090437.974
6506927.1,1901036.547
6548855,1826550
6500926.153,1904780.798
6317898.739,1975836.409
6322555.98,1799269.001
6352169.029,1892805.947
6272707.053,1885776.971
6254873.393,1841655.524
6330671.12,1838168.683
6501011.758,1902655.467
6260945.622,1847070.934
6323365.605,1799275.429
6290792.678,1995847.678
6273989.818,2047514.937
6320128.757,1992953.07
6257659.627,1829800.272
6242716.905,2083076.806
6494584.131,1799941.365
6251047.365,2085250.869
6280795.386,1826246.876
6345422.473,1819192.5
6251428,1938830
6256257.997,1838175.979
6269958.981,1885548.999
6256552.789,2078108.598
6543740.959,1853180.065
6332148.125,1854241.119
6272860.155,1835893.416
6489291.44,1813067.759
6264711.877,1994119.324
6241648.076,2005688.763
6259011.937,1985287.249
6292003.729,1961642.437
6411044.477,1978362.331
6288363.021,1899164.162
6174082.968,2090457.077
6364479.59,1916278.915
6202474.138,2036654.76
6401745.841,2010642.502
6229619.276,2008313.149
6241664.462,2005638.614
6252916.462,2074375.614
6370294.612,2061456.467
6290873.364,2002582.819
6293896.995,2005009.5
6258253.999,2006800.018
6402963.776,1969221.276
6257613.472,1829693.053
6317074.947,1994477.472
6253547.889,2046292.206
6378654.35,1959962.003
6257311.529,1829986.776
6247609.82,2080890.666
6234267.248,2009013.124
6318865.428,1864324.994
6174596.181,2090226.804
6407932.74,1899376.685
6389318.667,1895453.377
6257027.065,1996303.155
6257877.774,1830934.76
6292830.621,1839072.531
6257195,1830155.999
6291733.005,1936862.509
6377973.332,1924450.733
6270120.12,1944697.146
6537657.794,1850674.575
6313116.896,1839300.11
6324484.752,1861150.922
6232158.776,2103220.465
6251480.007,2042678.203
6274507.29,2069192.008
6374653.352,1925171.363
6279981.492,1851131.221
6322797.982,1799259
6396888.331,1971112.539
6290077.848,1905044.519
6374729.549,1924868.441
6304521.803,1969641.115
6347652.5,1815529.486
6343250.324,1815648.858
6317451.304,1994572.362
6174220.304,2090443.637
6306801.957,1821886.573
6340759.563,1890872.855
6321572.069,1828713.692
6489812.261,1801781.904
6226066.836,2051733.001
6173648.97,2090487.071
6330549.644,1896067.625
6256531.669,1837436.847
6377069.311,1918830.41
6261422.933,1847718.575
6228220.016,2057937.325
6473286.835,1932281.228
6232204.507,2028827.505
6228336,2057389
6291677.004,1936863.5
6262718.001,1831777.017
6308809.999,1839541.983
6454958.498,1807313.039
6211887.143,2025039.058
6319868.093,1969857.462
6336728.858,1871276.584
6251070.553,2085298.343
6334309.656,1816069.092
6374482.499,1925676.522
6279676.277,1854565
6405493.581,2005189.195
6490927.193,1816825.978
6313416.866,2075396.058
6327027.561,1863024.274
6324528.26,1861188.432
6263765.82,1870140.198
6395380.673,1919697.098
6306612.996,1850489.5
6279377.004,1851393.5
6255866.017,1899906.999
6430882.942,1889159.712
6244533.721,1955261.011
6332445.412,1854263.563
6342989.117,1845631.6
6251980.389,2084295.333
6216172.692,2048710.067
6255733,1831532.425
6213606.869,2071768.192
6509841.892,1900201.652
6250232.702,1962615.187
6256191.068,1837841.408
6234215.122,2009038.179
6321142.676,1841802.599
6252437.644,1837747.393
6271434.974,1851795.602
6496161.896,1840499.532
6302186.85,2018629.015
6248675.064,2075592.374
6328637.702,1855790.999
6335057.074,1816745.481
6255360.955,2024738.671
6403086.512,1969257.76
