2410	"Four Rivers Pk Dist-PD"						
2501	"Alturas-PD"						
2601	"Mammoth Lakes-PD"						
2701	"Carmel-PD"						
2702	"Del Rey Oaks-PD"						
2703	"Gonzales-PD"						
2704	"Greenfield-PD"						
2705	"King City-PD"						
2706	"Monterey-PD"						
2707	"Pacific Grove-PD"						
2708	"Salinas-PD"						
2709	"Sand City-PD"						
2710	"Seaside-PD"						
2711	"Soledad-PD"						
2712	"Marina-PD"						
2717	"Monterey Park Dist-PD"						
2719	"CSU Monterey Bay-PD"						
2800	"Napa County-Sheriff"						
2801	"Calistoga-PD"						
2802	"Napa-PD"						
2803	"Saint Helena-PD"						
2900	"Nevada County-Sheriff"						
2901	"Grass Valley-PD"						
2902	"Nevada City-PD"						
2908	"Truckee-PD"						
3000	"Orange County-Sheriff"						
3001	"Anaheim-PD"						
3002	"Brea-PD"						
3003	"Buena Park-PD"						
3004	"Costa Mesa-PD"						
3005	"Cypress-PD"						
3006	"La Palma-PD"						
3007	"Fountain Valley-PD"						
3008	"Fullerton-PD"						
3009	"Garden Grove-PD"						
3010	"Huntington Beach-PD"						
3011	"Laguna Beach-PD"						
3012	"La Habra-PD"						
3013	"Los Alamitos-PD"						
3014	"Newport Beach-PD"						
3015	"Orange-PD"						
3016	"Placentia-PD"						
3019	"Santa Ana-PD"						
3020	"Seal Beach-PD"						
3022	"Tustin-PD"						
3024	"Westminster-PD"						
3026	"Irvine-PD"						
3027	"CSU Fullerton-PD"						
3032	"Orange Coast Pk Dist-PD"						
3097	"UC Irvine-PD"						
3100	"Placer County-Sheriff"						
3101	"Auburn-PD"						
3103	"Lincoln-PD"						
3104	"Rocklin-PD"						
3105	"Roseville-PD"						
3107	"Sierra Park Dist-PD"						
3111	"Sierra College-PD"						
3200	"Plumas County-Sheriff"						
3300	"Riverside County-Sheriff"						
3301	"Banning-PD"						
3302	"Beaumont-PD"						
3303	"Blythe-PD"						
3305	"Coachella-PD"						
3306	"Desert Hot Springs-PD"						
3308	"Hemet-PD"						
3309	"Indio-PD"						
3311	"Palm Springs-PD"						
3313	"Riverside-PD"						
3314	"San Jacinto-PD"						
3315	"Corona-PD"						
3324	"Los Lagos Park Dist-PD"						
3325	"Cathedral City-PD"						
3342	"Murrieta-PD"						
3397	"UC Riverside-PD"						
